CloseAsk,CloseBid,HighAsk,HighBid,LowAsk,LowBid,OpenAsk,OpenBid,Time
1.08566,1.08546,1.08607,1.08587,1.08558,1.08538,1.08576,1.08556,2024-03-04T20:00:00.000000Z
1.08549,1.08529,1.0859,1.0857,1.08548,1.08512,1.08557,1.08537,2024-03-04T22:00:00.000000Z
1.08504,1.08484,1.08565,1.08545,1.08485,1.08465,1.08549,1.08529,2024-03-05T00:00:00.000000Z
1.08553,1.08533,1.08559,1.08539,1.08496,1.08476,1.08504,1.08484,2024-03-05T02:00:00.000000Z
1.08539,1.08519,1.08555,1.08535,1.08501,1.08481,1.08555,1.08535,2024-03-05T04:00:00.000000Z
1.08475,1.08455,1.08544,1.08524,1.08424,1.08404,1.0854,1.0852,2024-03-05T06:00:00.000000Z
1.08525,1.08505,1.08569,1.08549,1.0844,1.0842,1.08477,1.08457,2024-03-05T08:00:00.000000Z
1.08509,1.08489,1.08561,1.08541,1.08488,1.08468,1.08524,1.08504,2024-03-05T10:00:00.000000Z
1.08473,1.08453,1.0853,1.0851,1.0843,1.0841,1.0851,1.0849,2024-03-05T12:00:00.000000Z
1.08724,1.08704,1.08774,1.08754,1.08412,1.08393,1.08473,1.08453,2024-03-05T14:00:00.000000Z
1.08609,1.08589,1.0873,1.08711,1.08588,1.08568,1.08724,1.08704,2024-03-05T16:00:00.000000Z
1.08539,1.08519,1.08611,1.08591,1.08523,1.08503,1.08609,1.08589,2024-03-05T18:00:00.000000Z
1.08576,1.08556,1.08601,1.08581,1.085,1.0848,1.08538,1.08518,2024-03-05T20:00:00.000000Z
1.08565,1.08545,1.08607,1.08579,1.08565,1.08528,1.08607,1.08528,2024-03-05T22:00:00.000000Z
1.0845,1.0843,1.08566,1.08547,1.08432,1.08411,1.08565,1.08545,2024-03-06T00:00:00.000000Z
1.08517,1.08497,1.08543,1.08523,1.0845,1.0843,1.0845,1.0843,2024-03-06T02:00:00.000000Z
